"logR1"	"logR2"	"logR3"	"logR4"	"logR5"	"logG1"	"logG2"	"logG3"	"logG4"	"logG5"
"gene1"	11.6228845031725	11.8681795577885	11.9498108119229	11.7518856167644	11.7907521829578	11.3413614097699	13.3576728301226	13.5198376971929	12.3234792219503	13.0863162628304
"gene2"	4.81255964248461	6.00133383913462	5.43214735611372	5.3135466052468	4.84033104376611	8.53546948858454	9.79059212881016	8.48042582751745	10.1151219151639	8.25975885664878
"gene3"	15.7266628615098	15.3182960277776	13.7265041841127	12.9725707919837	11.6550854887041	11.3927002347135	11.1210403611715	11.4239175830507	11.3051383528074	9.62339117130839
"gene4"	9.12522381020649	10.7983530678076	9.24761220260092	10.6137165637357	9.15140249050842	9.61590135365491	7.79032020478557	11.0328932154935	11.1588373391779	8.55107358162164
"gene5"	5.7331388523501	5.23047150438854	3.69089940815884	6.6769377183306	4.54965351727757	12.0321820730486	10.6337521459446	12.3249146915733	12.7692303426762	12.4603031480564
"gene6"	9.38747318159154	11.3704527524838	10.0911790185847	11.0953563281313	11.1669888021556	9.44716655924273	8.75724675929023	9.37146778025067	10.9839048344559	9.12739718338087
"gene7"	10.843797534453	9.15437972916907	10.2330884069061	9.43420938500607	9.58720026468873	10.2522726967463	8.42520823515439	9.7181820990309	11.5905192394248	10.6487875348467
"gene8"	9.28014664853106	8.70954733423844	11.4534680657436	9.75868800525097	8.84565667140942	12.1411318268833	12.4909208220301	11.2551977144028	10.3944731190304	9.72482215407822
"gene9"	11.0499341640098	10.9299841099727	11.4784551677491	11.1808222306834	8.8907267676835	9.20734183858844	11.0197194043918	9.74974830525323	11.3058860067772	9.69867470216738
"gene10"	12.2065217981503	9.30619680163687	11.1052705083117	9.51537171633762	10.9217112143382	11.6994008036564	9.80648972457749	10.4336571385517	10.3707477715355	10.572449349592
"gene11"	8.45629012274829	11.0403619547431	11.1335156615024	9.16660774481759	9.37440589653703	9.06669913205669	8.91234350045505	11.277868285719	9.29624889752417	11.2573457630463
"gene12"	10.4463479693775	9.62580051749274	9.08463867370663	9.81871217609008	10.5673231819949	8.6308123190847	9.32895986232159	11.0770920723338	9.27703167873	8.81931607373981
"gene13"	4.8117252625556	5.60243427850286	5.91612050332885	7.78186459168753	6.08076349726765	5.30027659434563	7.0008208487518	9.51644523452683	8.83380712729868	7.92469143040112
"gene14"	9.19885014540367	9.54557870037614	10.3415097844079	11.6197982364881	8.62952114125597	11.5672664635344	9.63087444281519	11.1606648930535	8.06187871983389	11.3862204241292
"gene15"	8.71170169902399	10.6723590311656	11.6244610408401	11.2149253969051	10.7141050521543	9.71635444512139	11.3251287969681	10.9075929230713	11.8712905043989	10.2644079470807
"gene16"	9.92533103892703	9.9818073367865	11.426279356658	10.5378929617682	11.4050026669975	9.72462583602428	11.8534493048857	10.1733428913182	11.242256007043	11.3292340007506
"gene17"	10.2796019118563	11.0672807746036	8.02734586094205	11.2354098736014	9.70506487430223	9.13992923279176	9.12749072488358	11.519698585085	9.61458022684383	11.2755839936336
"gene18"	10.6509313689907	9.63210162218098	12.9425358779464	10.37434288086	9.9569475519562	12.4840244120988	8.52595263397211	9.91158296324155	9.36837272572626	11.1093365286704
"gene19"	9.73084780453747	11.2748098532294	10.0094879570831	9.45519747217129	11.1404333710297	10.023319517116	11.0455498602043	10.6091782170034	11.6130228845884	8.67783473858006
"gene20"	11.3945965662096	9.30017842207569	9.35666948075177	10.6992729979152	10.7271900380811	9.95584446831481	10.6306601526429	9.95565702497507	9.74603867703759	9.63789740842237
"gene21"	6.57029472939247	6.98618379456686	6.00775822217163	6.05605772850054	6.20318286296295	7.59971282852507	9.11008898415779	7.92793343319816	7.88854191722709	8.81204857012557
"gene22"	9.01406548992599	9.6985817726722	10.0246429995151	10.7837181189148	11.463927459953	11.0394785157348	12.2278805469717	10.2371299769713	11.0086672122579	10.9084847697229
"gene23"	9.41562339629895	9.4770779477683	10.5717267978541	10.1204608065547	11.1012913912936	8.08715695578315	9.62015696831975	10.900020348484	10.7536032477112	10.4937727724841
"gene24"	8.87695360877099	7.58398262013163	10.5237284008973	9.63942111419698	10.9883305493102	11.6549519501246	7.68917076367627	11.0023461981226	11.3944276140041	11.3663197927805
"gene25"	9.47532918142812	10.9526354496678	9.33212085894619	10.1814120710749	8.66935635544255	11.3984660892825	11.4076187913943	9.10834088482606	9.32960128900445	11.3852467594782
"gene26"	9.39700281995438	11.4528788808641	12.5868922474025	8.21960360550641	10.5126119951556	10.1643239819461	11.0255632784742	8.58817339489435	11.3007332030858	9.5926777489538
"gene27"	9.93143314811957	10.3418720239882	9.85804721917844	9.87279325457658	9.8451678514565	10.7882347269819	11.0693664617194	10.6522377066415	11.4813735901347	10.2998968177384
"gene28"	10.3477564630547	9.82266868576763	9.02787488800342	9.73012953003615	9.40692284022357	9.44529164385405	10.2341776513098	8.5391471781209	9.53313734422993	11.1590014528731
"gene29"	8.81790742371528	9.24633116797303	10.0921850860576	9.98089606574739	9.03202817710137	11.2478785432951	10.3149286632014	9.70391626362156	11.4778264543199	10.5465231977663
"gene30"	10.031986487164	9.01274069045255	10.6015077289128	9.43351161371704	10.0468057947535	9.88019774160503	10.5648315862272	10.2150406482742	10.9339331445495	8.80050008642665
"gene31"	8.56972370642579	8.72809991227386	9.36176659078023	10.1904652301164	10.1932645226474	11.4175715513545	10.0415872125425	12.9071418508531	10.2979296710945	10.67424891207
"gene32"	10.4434681662858	8.25200262716018	8.71590292792916	10.1968400911433	9.44567639935226	9.8485604369634	9.36963085834659	10.9770085817877	11.5560314126121	11.4716933425671
"gene33"	8.89478076132302	9.72843243626406	9.25194378118883	9.22381595703637	10.7740372824933	9.60732087085825	9.64842966747903	9.53738579707176	10.3413942256934	9.91547547508923
"gene34"	11.0598570040115	13.1055169336129	11.7551742164535	12.6908296963756	12.2816613753079	10.2619237798263	10.6030940979505	10.5505759911043	10.4192208522785	9.68345868665851
"gene35"	12.4869171524545	10.1315358927657	10.6980730599242	8.64783392727488	10.7973300245586	13.0299581449026	8.05601348689378	9.99238166053713	11.0440923477667	10.6573355459998
"gene36"	9.63032780676438	9.45966617697841	10.9871303341063	10.8868483103437	10.8101826393592	10.025078835438	9.02208171651526	11.121114263851	9.75183221407041	8.31466998536231
"gene37"	9.90883534942884	9.90082261096144	9.72292838523643	8.63465857450909	9.69563700550313	8.46975225417969	9.66927058305869	8.92447755703479	9.83549340542204	10.8035385279141
"gene38"	9.71687835791302	8.31314856760608	10.1375396134929	9.57182532416565	10.0179265439674	9.58050172374184	10.1636150029093	9.19026185673824	11.6222479544503	9.30469569998233
"gene39"	9.47707334193897	11.3277942531302	8.03237980414336	10.1935563828533	9.60291108792699	10.1601531016595	11.4833542715135	9.30448265772511	10.0154613659466	9.43007277766267
"gene40"	9.14875939798361	10.045135531084	11.3093687676985	8.78193390921074	10.1812910934428	11.6245160011254	9.66462190116263	9.76360502977445	10.5495878016295	8.87743734068102
"gene41"	8.68770677427722	9.19066828299373	10.7287772100662	10.0531896713987	11.0074544294195	10.7329784294373	10.0527743833	9.4646263785347	9.78606286663534	8.48128341447214
"gene42"	9.23469029623409	11.2632825138933	11.546830254158	9.60995124834987	10.2103078875248	9.79284924912859	9.358332188822	10.5459211431538	9.41886892515515	10.4840178902147
"gene43"	9.33268363066288	11.0651456055099	9.71715188450591	9.01144289571949	11.6166971109348	10.0670741774229	11.5390081859024	10.370823416225	12.0558327462607	9.87109760647811
"gene44"	10.3253791107784	10.7766450408456	7.90885228896175	10.1955558016178	10.0038540830671	9.74716203755238	9.38086193333075	11.0561366574874	9.25103798177276	9.81386008890643
"gene45"	10.3254228059299	10.072256527055	11.0421551598776	10.1484778857162	8.5893111606356	11.0671282875599	8.45400651656433	10.1564122302285	9.43866359319589	8.38278607480729
"gene46"	6.19131279791476	9.82564251387578	11.197540233067	10.1625400364069	9.40884185872651	9.61122190712729	9.51680071643904	8.23790473477998	9.80606370404092	10.6950918510967
"gene47"	8.97812760978177	8.21370878507861	9.14149943662449	9.91393691086383	10.1286645002971	7.86811736161292	10.8319084020294	11.8318745167726	9.51575155303414	10.4114436849189
"gene48"	10.6519031615119	10.6298230820677	10.0262208403225	11.4587044100196	10.3255469658666	9.0377252775731	9.22576682682475	12.656747265891	11.3714510102644	9.65970637117093
"gene49"	8.68013255900354	10.8292736016056	10.9035530168707	10.6628397062361	11.4921876928711	8.24827387335153	10.6639027850735	11.0708665740182	10.4435393872863	8.95647491017165
"gene50"	8.97857102509385	8.94675424002469	8.8703615992138	10.4098390619484	8.89629181177449	9.1176870011965	10.200770899137	12.1978566749754	9.75759111015583	10.3862007775638
"gene51"	9.80731095907759	11.414117402239	10.2475178007098	10.4721017344787	8.90057688750449	9.62425129562259	9.04821183567955	9.79012969697568	9.89316405974403	9.32159687406675
"gene52"	9.56317293110049	10.9267708011505	9.05687762834852	9.61333011030172	11.0933850557024	8.89976984470951	9.51052237321914	9.94850218655512	11.8968295655621	8.69670520877512
"gene53"	9.54794996559447	7.62760852490604	8.80014955767689	9.69869365453718	10.403857679449	9.71008296951764	8.3169964638779	8.43257375748941	10.3178868525763	9.07303401259856
"gene54"	10.9144021154718	9.8317679527134	11.4714468172565	10.6258557171755	10.2926479406028	11.0388834790547	7.65380952537017	11.0011270447525	11.7899720910371	9.32965307916652
"gene55"	12.0664305495163	12.6062478241124	12.160091270097	13.8830246244618	12.368639533148	14.37391345696	13.5395887277073	12.1408488777713	14.4383749907128	13.8062570439127
"gene56"	9.5564065096427	11.0280117169527	10.4077902190371	8.46788541602283	10.2551958955998	9.29880641010439	9.32708283706075	9.87521242366841	9.51698572906053	9.1505760751077
"gene57"	9.2405662707568	8.98204036462758	8.54601952200307	9.87517539430646	9.05212493110962	9.20686187966492	8.39112863652399	7.63737125798926	11.5454007850624	7.91425147575909
"gene58"	8.90271278142837	10.0905892095361	7.98725765347561	9.5373525993386	10.3141762230913	10.6412081783274	9.85649616386051	10.9039302996945	9.82336732516947	10.3899256268294
"gene59"	10.3419681266127	9.8244161753377	9.64113336248885	10.557841156912	9.03708176900096	10.6566236142084	10.3274915465684	9.95384596747167	11.0745818180161	7.4059868698378
"gene60"	10.5186657293497	11.7198535799348	9.84289467329129	8.00172298744451	11.0936155214833	9.39826697768453	10.056595724669	9.43359751597	9.61024003764438	10.8701454186522
"gene61"	11.3459442819744	10.9237405636505	8.98036927634922	9.19123341371631	11.1581141421365	9.93422038849038	10.3660848379359	10.8157402505492	10.0637827782196	11.1700916105634
"gene62"	11.0148976056052	8.30987261529183	9.84043805426174	11.5416196574225	8.03994081598675	10.925076907621	10.1998052987288	9.34410236834793	10.2941238516522	9.40529925212539
"gene63"	10.6552836527234	10.3953299871309	9.74085019590527	7.99299833336831	10.5704666359155	10.9557024642832	9.37689060571585	9.76653433994633	8.41259198156171	9.76555626447983
"gene64"	11.1380690273612	10.0876837508211	9.61693890456564	8.52892577008749	11.1081933230095	12.0268733424635	11.67657405445	9.9325171664751	8.59341030465887	8.54686942104652
"gene65"	10.3077095870534	10.8104365177465	11.6616327939728	7.65190626554026	9.90956038431351	9.5981981710626	8.33715744825653	10.3389185904219	9.97828352563373	9.45910239672192
"gene66"	9.98802114279932	10.7537832643396	10.6766701077883	9.74407193274189	9.95642906670045	9.17490868922853	11.031974532487	9.96070495264854	10.3898392958633	9.22040738401957
"gene67"	11.2551896429647	11.3046198384184	11.3126558653078	9.19864098640786	9.52789341934936	11.7332909807819	11.8856834522067	10.5533988757818	11.893378829357	9.41814594122394
"gene68"	11.5174176351612	10.09008981071	11.7949263429768	10.6921638305031	7.95405783148344	9.2681120618364	9.05102070793331	9.46088858045097	10.4230977191527	9.74392425481068
"gene69"	10.2816975193792	10.2869672556696	9.24637077560479	11.8608620150387	9.14052355814779	10.8800923316562	12.2212071603914	9.06134863439148	7.82526599979482	10.4292400344341
"gene70"	11.3207864246294	9.19839001448717	8.24664091683493	9.14961107058676	10.2926705750253	11.3539861241071	11.5856101172328	10.3032740550555	10.9066937133971	10.9711717099862
"gene71"	9.78120662220183	10.092575626765	10.3955827707846	8.30074278750433	9.36193794422749	9.26870477974772	9.47571504923153	9.84521476693955	9.26977571297106	10.9670843104097
"gene72"	11.178875407915	9.80707007807337	9.87034644958647	10.2406010553287	8.51852016356688	9.90310909230273	10.9112788317038	9.4784697824047	10.0898729879305	9.31137281629264
"gene73"	9.07774169416394	9.40832366378918	9.67218383466536	10.7505606652852	10.7604713185267	11.3134363635182	9.8737284805752	10.4666295876067	10.1537906215074	9.80705272421075
"gene74"	9.74989022827373	11.1207426996623	12.234433099131	9.0846209025523	10.3324902738812	9.67588893888549	9.03844691331079	7.96957236112373	11.0235381119302	8.070240412363
"gene75"	11.2111086181956	9.36141040089866	9.55328569028073	10.1062026117833	9.88185287701261	9.93384479098909	10.8616253017528	9.31118098926947	11.6564648842215	10.5154855206562
"gene76"	9.90901148529525	9.24037119841347	9.77872320691493	10.5224708233908	10.3362349858195	8.70619968832801	9.89326168427401	11.2251609781663	8.02565145176346	10.5570583443101
"gene77"	8.16635341786028	10.9883569453962	10.0947820203609	9.7285261461064	11.0718596980061	9.98392644238269	7.95757935770152	10.4760732821427	9.30161574222711	10.3173006511165
"gene78"	9.71549578055919	9.58290687316569	9.67886427647617	11.3132272496831	9.19360694731928	9.20861712139664	8.77346978382248	10.3156926852649	8.06102174010675	11.5813850892411
"gene79"	8.98737098083251	9.79735930395875	9.74171074042663	9.55762486086922	10.6105331308168	9.90736277223919	8.65787807673797	9.16210357873323	10.3528793051276	8.63495514214818
"gene80"	13.3872884175027	9.10512990311307	11.0503181829803	9.60082634295091	10.7166006134992	10.0334647785325	11.5341083535204	9.2017538507118	11.0485095775821	10.3288065225594
"gene81"	8.68789358030862	9.20305836065493	8.98763445442702	8.12552404206117	10.0430885114378	9.80503745916617	10.2871255516246	9.61702696237033	9.99949825923557	9.311875899092
"gene82"	10.5758428425237	10.5250821690216	9.76523519347349	9.74262458880894	10.6811566057099	9.29495709074324	10.669340569327	11.8398345425567	12.1297877230629	10.1982228321245
"gene83"	9.96998797577915	8.76926328277058	9.73562005709615	9.57466089075923	10.7190137743497	11.8704772985871	10.5518626013479	9.13044939539936	10.2726915154563	9.7690030958366
"gene84"	11.5652194186501	8.93095539026243	12.2324914716643	10.1626796542793	9.3707698047356	10.398504075786	10.5099315293791	9.69505990692745	10.286195753447	10.9508246420215
"gene85"	10.5196273130732	10.150182988583	9.16048226456993	8.78386348288251	9.58383446982791	9.62804879553435	8.60867438311765	10.2182482664435	10.3425631467289	9.13917192712371
"gene86"	10.6522162624222	9.58516122890072	9.46262837932325	9.30980344806836	9.03093469929886	11.0802682070414	10.7511761508118	8.95366621256053	8.47047938027248	8.74732353786107
"gene87"	9.06342381236668	9.99369249099298	10.1361710640834	7.86552403905915	7.76610763764247	10.161089053475	10.0759285223553	10.3575381890458	9.16623517748492	9.06232226885315
"gene88"	10.1475399270551	9.80306899685628	9.42443146198082	9.43910086785736	10.1446046564489	10.2902549970304	10.61993193654	10.1094868999858	7.48168507630814	8.93924317990042
"gene89"	6.57729280591551	4.88927533258383	7.28853855615957	5.13988853089311	5.21679781584274	10.1645013663655	9.55018197407717	8.93023807258015	10.8959908998618	12.2451803802649
"gene90"	9.22499947002358	10.219699032767	9.72787329526972	9.0237249576808	9.27414137354037	11.2287566205322	10.0383528599541	11.5812316808209	9.87332288845263	9.93791531325887
"gene91"	10.0666639155032	9.14100599316594	10.0413230340932	10.3449199908064	9.74915643634059	11.0268444516165	8.55394277215617	11.3884095453347	11.4709156321995	10.0392611526151
"gene92"	9.46477484307293	11.9509838504285	10.9239750331929	9.49637310242374	11.7132182854474	11.8427908380734	8.3971684211482	11.0625238017911	10.1656208096492	12.1043955802476
"gene93"	9.29718272259213	10.3570615058553	9.12401233020855	9.40746395945219	9.84221124377242	10.1011186072065	8.76979478447528	10.8237958505458	8.04949898589776	9.6373017887542
"gene94"	9.67066908078708	9.85842102505792	10.8689138034805	8.41205992968071	9.70108733413116	8.6951535251952	9.83709766325576	9.18921739361553	10.643812369329	8.71787986650693
"gene95"	9.78040064880358	10.4966900938263	7.7398397152645	9.0426242711595	8.90909709959094	11.2148458141096	8.60000938835994	9.647236752658	9.89553182675895	9.38645808485088
"gene96"	8.45284912631187	9.29530037314503	11.2249038238708	9.77491153700451	11.5044004680476	10.1673609642901	9.97090074476346	9.15350624742958	12.2124659462819	9.58972821308291
"gene97"	8.60886259321146	11.0989998598315	11.6822411835361	9.25643040721272	10.3382096167512	9.83845760276794	10.7082749151973	10.4442095211035	10.465636726424	9.67866741885467
"gene98"	8.97472846973865	9.64373373720855	12.900270849492	9.55033592622769	9.82547592307269	9.32256146936724	9.95180262832214	9.33217094385667	9.81804339716213	11.7244243714035
"gene99"	8.70789170615609	10.9878779998513	8.96307840280942	9.10185761405388	7.76814754063002	11.3235339376235	8.77959015824308	9.05497284069531	8.10521889764633	10.5805675316248
"gene100"	11.1673973491168	10.3058372824749	10.8837456945631	10.88688898114	10.5568890878291	10.8612608691696	9.69318193127037	9.27177450505238	8.37530296398129	8.65802131809374
