"logR.1"	"logR.2"	"logR.3"	"logR.4"	"logR.5"	"logR.6"	"logG.1"	"logG.2"	"logG.3"	"logG.4"	"logG.5"	"logG.6"
"affx_000001"	8.0136723860581	13.2838674850247	9.57704370739011	7.52457260041066	9.91633570046275	8.19468057362177	5.61157628747483	8.80718404024347	6.25888004863086	6.33045399261415	8.83853819408543	8.08084561922831
"affx_000002"	6.10439822693811	8.5295405268501	9.42977435107016	3.77530854044185	9.09438133942942	8.72784179895546	5.83536454324219	9.22168413883651	9.15052126387743	4.01781799698519	9.39224130856862	7.83668102472661
"affx_000003"	3.62312634254986	6.60024415166938	6.04627413941582	6.72699634833605	3.05006045268385	6.81400778486825	4.51327688406911	6.66292019398598	5.93483136141857	6.68374237465305	4.7844045044463	7.83251306280583
"affx_000004"	11.5048562150267	7.77669527305269	6.944284672046	7.65406499265473	9.60925248330477	7.37593077649797	10.5669890809254	7.41054500332392	7.24168757001507	8.20827229728264	9.16522289566831	7.90418253090693
"affx_000005"	4.54978564897565	9.96625246429156	7.49274548179588	7.2613806944813	9.38190468371393	8.28708765597411	5.41669209829272	9.78049798756365	9.16428073737021	7.91929049523026	7.93258066031253	7.60155160496451
"affx_000006"	7.25567529681718	5.83108964833009	5.39763559106991	7.24333229947505	4.95664586881928	3.00722832318079	8.40463340950623	6.92065608397318	5.08899432761165	8.40823565690587	5.22200279282782	3.65258821500921
"affx_000007"	11.3204126954571	11.5517372967293	10.0716823512945	3.87816104596732	6.90756247602452	10.2432856261786	11.1642692896165	10.2452008439353	8.23613762411589	4.63826954906648	7.03442116755077	9.22769363571416
"affx_000008"	8.72904865417279	11.7395373192462	5.67142406216718	9.23200067578528	7.25668454634421	10.2967938400143	7.63283007221646	10.6740970897408	7.51682691361704	8.51601799719561	8.98973990654719	9.01993738554069
"affx_000009"	9.11866875177581	7.99137572205793	7.62321640506136	8.16984770487711	9.27974404726375	10.625186384072	9.03239501438442	7.02804282538623	7.63848378056918	9.21354065245897	9.08726938181719	10.3573678961715
"affx_000010"	9.32837676848804	5.10547927823328	7.8434982389887	12.3356070872931	8.62036717660715	7.26279125348545	7.66348593740617	4.50593559511703	6.71217504841408	9.54136688386128	8.33391963138049	7.7124048702618
"affx_000011"	7.02008516679202	10.9299049463487	7.75416159503473	9.55732870868248	5.96130828968413	7.75033521192227	7.51472724460945	9.82073870431153	9.2635055794219	8.53580184040046	7.08623597179581	8.45173765969041
"affx_000012"	8.41288767827073	9.2236510657623	12.0530296971966	8.66365411413539	4.7774056318109	9.81361024904436	8.17711576805414	9.25872908180843	11.0971265469936	8.16671580852888	6.18113457072814	10.3113377319923
"affx_000013"	1.21117540498477	6.42489918874581	5.77238438754072	11.1151078717743	11.5017715668333	7.77826265968382	4.62562996951358	6.20815675863478	5.77583023370159	11.0831844492713	8.63519367815441	9.41981133827371
"affx_000014"	8.59350748023634	6.23565115683054	9.73900184586736	4.20547448846795	5.78483117477476	3.02910540561859	8.54899354812237	8.69289373159893	10.1217133684163	5.09796620258948	5.88336341713665	4.96334603227482
"affx_000015"	7.85111442554175	6.16036809777807	8.98990126326368	8.07104964785373	8.77094622357395	11.5422940408414	6.92427484681382	6.9279112992264	8.85347728506183	9.66643656381574	7.1749909161143	10.5356324497613
"affx_000016"	6.5487643482688	8.66632515328497	10.35190687971	11.8255623557712	11.8278640128268	6.83761497366221	5.86753762888449	8.51196515312218	8.99526098055371	11.1791932303152	9.95017331112533	7.59873400392439
"affx_000017"	11.127648641115	8.32527028601123	7.53265827024388	11.4768355650031	6.33471429916366	11.3959015514434	10.5993996009427	7.89652644930407	7.75802576464374	10.5329601232638	9.2849871297697	9.72465472298536
"affx_000018"	7.34680922041423	6.0457418387585	9.15016844712713	7.08191142090937	6.33043125519404	3.11117582578862	6.50163034840115	5.60734595296053	8.26236194567085	7.78898063069025	5.97221938884435	5.09422234060146
"affx_000019"	7.40226633708447	8.39594730237393	8.77995499442684	4.70451878339874	8.06625402928802	9.0475015962689	6.91701617257061	9.08838407018203	9.09583475699227	5.22917117043866	8.26212656009448	7.64091082638254
"affx_000020"	9.35915614758717	7.02841270675451	3.45130857062734	4.94878239530991	9.99682671597578	8.86781926974168	8.3603750200593	7.30777651624336	6.41723234577173	7.16760062683328	9.02450170627557	7.58324512654627
"affx_000021"	6.76738518646357	7.44776987476739	10.5181113207206	9.82376465312775	6.64432868679524	10.9181671273346	8.10861402086952	7.86212089253411	8.76890201640504	9.26010711612723	7.72930459336251	9.86074701027391
"affx_000022"	4.78592940794558	9.62496043606276	9.77971842054374	12.6206696780813	9.66271396189217	8.30993819089943	5.6127614317414	10.4741842203122	7.28727253247207	11.4907418708356	8.72740808014748	8.90930350165437
"affx_000023"	8.65321993653166	7.65609686072289	4.62559691981564	11.8130661835437	12.4730826695012	7.02694370605965	8.09584263575708	8.65764065117402	6.98886061236088	9.69783628869926	10.3113551930415	7.56316093146714
"affx_000024"	9.54785459958117	9.30446872161774	8.2170325665932	9.86302246027069	3.23965772657319	13.6660425237187	9.77081697685172	10.0996633025567	7.97734598675635	9.56092555371779	5.30959558607398	12.2872785267587
"affx_000025"	4.51588013560372	7.91578785150896	6.66407325219089	8.13079629517103	10.6981412564122	5.44657192183308	6.19878542539344	9.22889636332679	7.13205160840921	7.61041154191286	10.3202099216694	6.73269676875238
"affx_000026"	5.1356567346216	7.12916682416539	7.74298946614613	5.4182364754368	6.39612716667728	8.67260659349337	6.26701903626692	7.56305477371311	8.63319827574147	5.63276262191328	6.56942100994301	9.27594601215262
"affx_000027"	9.01960343344101	11.1523013940699	7.36687477792996	8.7873832826516	10.1450645975909	11.9394302329048	8.15861401729962	9.58670452244005	8.29779668156021	7.51613713712424	8.90212232738696	9.54027504798643
"affx_000028"	9.57190496681611	4.53115883788208	7.10167557634108	9.58199384817229	4.07280195760086	11.5665360717056	7.22823862351979	5.48980081637981	7.37766085815867	7.70795901977969	5.47630367449338	9.00111907725219
"affx_000029"	9.97269768192759	9.49757989497124	7.65299040073221	7.81678480383577	7.18041831528173	7.47897655350719	10.111709863624	8.10907373355392	8.41658487026912	8.67777173146643	7.11312984326592	7.75805066468738
"affx_000030"	6.57848144696339	8.65668054299059	7.2981771108185	8.23800003945057	9.80031588588644	6.9842254557426	7.59799298338979	8.12193195188219	7.4259192002283	7.92074633240227	9.73931316987001	6.42819856287676
"affx_000031"	9.53202056822284	4.36821429193568	1.1174059294802	7.78895923858328	5.94832113596858	3.35572360134652	7.67819253690478	6.55571447611314	5.08098019854879	7.41166430879252	7.00610759764329	5.16889549806808
"affx_000032"	8.70966267874089	6.88748539515598	9.73822324600719	3.62140732207888	9.47922564699951	7.34305643237947	7.83110793233654	8.96567382340309	8.53043215665737	5.01198187726708	9.90745541556737	6.50195468146675
"affx_000033"	6.54302273096557	3.93425308667653	11.0566879090898	6.11966413498943	9.69602553133903	7.84025168639103	7.25212913747204	5.8179217748838	9.242068815327	5.91552701994084	9.65562875813279	8.341406493923
"affx_000034"	9.37604542325863	8.68799242216777	7.20572242628317	4.58632769990736	7.26363796594745	7.79809491279241	8.45905944978208	7.87026325828402	5.49092679731413	5.75724337608228	5.97598278624222	7.98545017920682
"affx_000035"	6.50120560638112	8.86382422839752	7.22593940310767	8.93482515611634	9.06701494305242	10.1017250317526	6.61254810077752	7.8742137787098	7.30416396140379	7.3588751763573	8.53580306937688	8.81509422371765
"affx_000036"	9.34245355857851	8.15833436315737	6.22098611002209	5.1830063263085	5.91662997748571	6.49148736038598	8.84180654804663	8.25187708788654	6.93134039475504	6.50084287695888	6.57348004349108	7.25541560448381
"affx_000037"	5.01482417087188	8.26310971901143	9.91007159799158	9.07218142381166	11.5616208750941	9.46932888980796	8.30634554656337	7.67668006556961	9.60678881837503	8.81384495275161	9.78173642762754	8.86944445368577
"affx_000038"	7.1035496386407	4.68964039862134	8.68724326836219	6.99450728321691	7.03766920356631	10.713858580005	7.22595558418398	7.01325889830556	9.86748382853016	7.66495704994273	7.9695535991562	9.11461369391814
"affx_000039"	7.91377230536557	8.95783908980127	6.44837112345834	7.55916443984337	10.0364110319059	6.43829624806129	8.56416197919955	8.69741540681722	9.20731259974004	7.94466451593553	9.66201907123411	8.23854594727321
