Omschrijving	eiwit	kool.suiker	kool.anders	vet.vz	vet.ov	vez	Na 
Honing.bloemen.Albert.Hein	0.40	75.00	0.00	0.00	0.00	0.00	0.000
Boter.halvarine.Blue.Band	0.50	0.50	2.50	11.00	28.00	0.10	0.140
Boter.kruidenboter.Jumbo	1.40	0.60	2.20	46.60	28.40	0.60	0.340
Hagelslag.puur.C1000	5.00	64.60	2.80	9.00	6.50	6.60	0.100
Chocopasta.puur.Euroshopper	1.50	57.00	1.00	8.50	29.50	2.00	0.010
Chocovlokken.puur.De.Ruijter	4.90	64.00	3.00	9.40	6.60	6.00	0.010
Hazelnootpasta.C1000	3.40	47.10	7.50	7.90	29.10	2.80	0.030
Hazelnootpasta.Jumbo	5.40	52.20	2.20	6.70	26.80	4.10	0.090
Jam.aardbei.Jumbo	0.40	60.00	0.00	0.20	0.00	0.90	0.000
Jam.gember.Jumbo	0.00	65.00	0.00	0.00	0.00	1.00	0.020
Jam.rozenbottel.Roosvicee	0.00	62.00	2.00	0.00	0.00	0.80	0.010
Kaas.geiten.Vergeer	21.00	0.00	2.40	19.00	11.00	0.00	0.700
Kaas.belegen.48plus.Hema	26.00	0.00	0.00	21.00	9.00	0.00	0.900
Kaas.jong.belegen.48plus.Plus	26.90	0.00	0.00	19.70	12.60	0.00	0.900
Kaas.oud.48plus.Albert.Hein	26.00	0.00	2.00	23.00	11.00	0.00	1.000
Kaas.jong.belegen.48plus.Albert.Hein	23.00	0.00	0.00	21.00	10.00	0.00	0.800
Kaas.jong.belegen.48plus.Euroshopper	23.00	0.00	0.00	21.00	10.00	0.00	0.800
Kaas.roomkaas.knoflook.kruiden.Jumbo	4.80	3.90	0.20	18.80	10.70	0.10	0.560
Kaas.strooikaas.Geska	55.00	0.00	0.00	0.40	0.30	0.00	8.000
Pesto.rosso.Grand.Italia	5.70	5.60	2.70	6.10	29.50	1.50	0.990
Pindakaas.Jumbo	23.70	5.20	9.60	8.40	42.60	6.80	0.240
Sandwichspread.tuinkruiden.Heinz	1.90	14.00	2.00	1.10	14.90	1.30	0.810
Poedersuiker.Van.Gilse	0.00	99.00	0.00	0.00	0.00	0.00	0.000
Stroop.schenkstroop.Van.Gilse	0.00	72.00	0.00	0.00	0.00	0.00	0.000
Vlees.achterham.Euroshopper	17.00	0.50	4.00	2.50	4.50	0.00	0.700
Vlees.boterhamworst.Albert.Hein	11.00	0.20	5.80	8.50	10.50	0.30	1.160
Vlees.schouderham.Euroshopper	19.00	0.30	2.70	2.50	4.50	0.00	0.720
