nr	Omschrijving	H.kcal	H.kJ	eiwit	kool.tot	kool.suiker	kool.anders	vet.tot	vet.vz	vet.ov	vez	Na 
1	Hazelnootpasta.1.Jumbo	541	2262	5.40	54.40	52.20	2.20	33.50	6.70	26.80	4.10	0.090
2	Hagelslag.puur.C1000	442	1850	5.00	67.40	64.60	2.80	15.50	9.00	6.50	6.60	0.100
3	Chocovlokken.puur.Plus	433	1811	4.90	67.90	64.90	3.00	15.50	8.90	6.60	6.80	0.180
4	Jam.aardbei.C1000	126	533	0.50	30.00	30.00	0.00	0.20	0.00	0.20	0.70	0.100
5	Jam.rozenbottel.Roosvicee	260	1090	0.00	64.00	62.00	2.00	0.00	0.00	0.00	0.80	0.010
6	Jam.zwarte.bes.framboos.Jumbo	244	1035	0.60	61.00	61.00	0.00	0.10	0.10	0.00	3.10	0.010
7	Pindakaas.Jumbo	613	2541	23.70	14.80	5.20	9.60	51.00	8.40	42.60	6.80	0.240
9	Boter.halvarine.Blue.Band	370	1500	0.50	3.00	0.50	2.50	39.00	11.00	28.00	0.10	0.140
10	Hazelnootpasta.C1000	566	2360	3.40	54.60	47.10	7.50	37.10	7.90	29.10	2.80	0.030
12	Honing.bloemen.1.Albert.Hein	320	1360	0.00	80.00	80.00	0.00	0.00	0.00	0.00	0.00	0.010
47	Jam.aardbei.Jumbo	245	1041	0.40	60.00	60.00	0.00	0.20	0.20	0.00	0.90	0.000
58	Poedersuiker.Van.Gilse	396	1685	0.00	99.00	99.00	0.00	0.00	0.00	0.00	0.00	0.000
59	Stroop.schenkstroop.Van.Gilse	288	1224	0.00	72.00	72.00	0.00	0.00	0.00	0.00	0.00	0.000
104	Kaas.jong.48plus.1.Albert.Hein	380	1590	25.00	2.00	0.00	2.00	31.00	20.00	11.00	0.00	0.820
112	Boter.kruidenboter.Jumbo	698	2921	1.40	2.80	0.60	2.20	75.00	46.60	28.40	0.60	0.340
113	Kaas.jong.belegen.48plus.Euroshopper	375	1575	23.00	0.00	0.00	0.00	31.00	21.00	10.00	0.00	0.800
126	Vlees.leverpastei.Albert.Hein	330	1400	13.00	2.00	1.00	1.00	31.00	11.00	20.00	1.00	0.800
127	Vlees.salami.Euroshopper	435	1795	18.00	0.50	0.50	0.00	40.00	15.00	25.00	0.00	1.400
128	Vlees.boterhamworst.Euroshopper	350	1455	14.00	4.00	1.00	3.00	31.00	12.00	19.00	0.00	0.790
150	Jam.dubbelfruit.Jumbo	246	1046	0.60	60.00	55.20	4.80	0.00	0.00	0.00	1.20	0.010
151	Chocopasta.puur.Euroshopper	580	2415	1.50	58.00	57.00	1.00	38.00	8.50	29.50	2.00	0.010
186	Hagelslag.puur.1.Plus	447	1874	5.00	66.60	63.30	3.30	16.10	9.60	6.50	7.60	0.100
199	Kaas.belegen.48plus.Hema	377	1565	26.00	0.00	0.00	0.00	30.00	21.00	9.00	0.00	0.900
200	Hagelslag.puur.Thijsje	432	1808	4.80	67.40	64.60	2.80	15.70	9.00	6.70	6.60	0.130
214	Kaas.jong.belegen.48plus.Plus	385	1619	26.90	0.00	0.00	0.00	32.30	19.70	12.60	0.00	0.900
216	Kaas.oud.48plus.Albert.Hein	420	1757	26.00	2.00	0.00	2.00	34.00	23.00	11.00	0.00	1.000
240	Vlees.schouderham.Euroshopper	150	635	19.00	3.00	0.30	2.70	7.00	2.50	4.50	0.00	0.720
270	Hagelslag.puur.Jumbo	432	1808	4.80	67.40	64.60	2.80	15.70	9.00	6.70	6.60	0.130
286	Vlees.achterham.Euroshopper	150	625	17.00	4.50	0.50	4.00	7.00	2.50	4.50	0.00	0.700
316	Kaas.mild.45plus.Euroshopper	385	1605	27.00	2.00	0.10	1.90	30.00	21.00	9.00	0.00	0.640
322	Hazelnootpasta.Albert.Hein	570	2383	4.50	53.00	51.00	2.00	37.00	7.50	29.50	2.50	0.050
325	Pesto.rosso.Albert.Hein	405	1693	5.50	3.50	3.50	0.00	42.00	6.50	35.50	2.50	0.980
329	Pesto.rosso.Grand.Italia	376	1555	5.70	8.30	5.60	2.70	35.60	6.10	29.50	1.50	0.990
331	Kaas.pittig.45plus.Euroshopper	420	1745	31.00	2.00	0.10	1.90	32.00	22.00	10.00	0.00	0.830
341	Kaas.roomkaas.knoflook.kruiden.Jumbo	303	1250	4.80	4.10	3.90	0.20	29.50	18.80	10.70	0.10	0.560
385	Hazelnootpasta.Ja	559	2328	6.20	51.30	49.30	2.00	35.70	7.50	28.20	3.70	0.050
387	Jam.gember.Jumbo	262	1113	0.00	65.00	65.00	0.00	0.00	0.00	0.00	1.00	0.020
421	Vlees.salami.Albert.Hein	390	1630	17.00	1.50	0.40	1.10	35.00	16.00	19.00	0.00	1.310
