"M.1"	"M.2"	"M.3"	"M.4"	"M.5"	"M.6"	"M.7"
"gene1"	2.297860652	2.5765862	1.623157445	1.282479324	2.565446944	1.958983123	2.974913785
"gene2"	-1.049317911	-0.313943907	-1.202307199	-0.871242409	-0.719809565	-1.035615101	-0.220648824
"gene3"	0.967833491	1.488113041	0.381817072	1.753227332	1.233252968	0.754661702	1.073427534
"gene4"	-0.069917905	-0.367748039	0.501327555	-0.194860683	-0.352946562	0.402081362	0.671803949
"gene5"	4.019775994	3.964293344	3.659779656	2.592638936	4.916592914	4.03521836	3.033845027
"gene6"	0.038422803	0.841303751	-0.157811213	0.167790765	0.536118656	0.405346843	-0.154240547
"gene7"	-0.73628956	-0.065187536	0.67915891	0.026795251	-0.318491165	0.306070132	-0.378521073
"gene8"	-3.380779443	-2.453077792	-3.100985748	-2.676992096	-3.046998505	-2.671224097	-3.511001923
"gene9"	0.05856502	-0.220404675	0.839930418	0.31101413	-0.025025178	-0.348338267	-0.085421308
"gene10"	-0.00204474	-0.543168432	-0.221381268	0.212134159	0.232886746	-0.345744194	-0.402722251
"gene11"	0.434492019	0.039704581	-0.346110416	-0.187444685	0.459944456	-0.233161412	0.24161504
"gene12"	0.198919645	-0.713248085	-0.313852351	0.211828974	-0.675313578	0.332621235	0.021271401
"gene13"	4.286324656	3.54811243	5.069643239	4.344218268	2.723563341	4.813867611	4.344248787
"gene14"	-0.301950133	-0.182988983	0.082399976	-0.148777734	0.554857021	-0.701651051	-0.149693289
"gene15"	0.646565142	0.068819239	0.210974456	0.286355174	0.369090854	-0.249031037	-0.954893643
"gene16"	-0.325510422	0.231238746	0.254310739	-0.244178594	0.587939085	-0.065034944	-0.196600238
"gene17"	0.20126957	0.248695334	0.022217475	0.151799066	-0.17935728	-0.583391827	-0.505172887
"gene18"	0.282448805	-0.118717002	-0.297006134	-0.247688223	-0.046296579	-0.376415296	-0.175023652
"gene19"	0.454786828	-0.376384777	-0.251045259	0.643086032	-0.34766686	0.04382458	0.129062777
"gene20"	-0.063112278	-0.069765313	-0.285409101	0.656056398	-0.815424055	-0.168462172	0.319772942
"gene21"	3.799157689	3.47093112	3.136875515	2.576708274	2.499771111	3.336069826	2.011597034
"gene22"	0.18530839	0.237678152	-0.795434431	0.238380078	0.413678396	-0.18222602	-0.4639729
"gene23"	0.692526017	-0.030732139	0.175725578	0.049806207	0.136722922	0.180272835	-0.158055361
"gene24"	0.290108951	0.112125004	-0.039796136	-0.001281777	0.558702353	-0.419110691	0.222479934
"gene25"	-0.164464248	0.78029725	-0.594470046	-0.776573992	0.471816156	-0.728965117	-0.710959197
