"logR.1"	"logR.2"	"logR.3"	"logR.4"	"logR.5"	"logR.6"	"logR.7"	"logG.1"	"logG.2"	"logG.3"	"logG.4"	"logG.5"	"logG.6"	"logG.7"
"gene1"	2.547868282	2.585009308	2.248603778	1.475325785	3.015076144	2.618274483	2.994384594	0.25000763	0.008423109	0.625446333	0.192846461	0.4496292	0.65929136	0.019470809
"gene2"	0.683797723	0.818964202	0.440809351	0.758415479	0.960844752	0.274147771	0.9136021	1.733115635	1.132908109	1.64311655	1.629657888	1.680654317	1.309762871	1.134250923
"gene3"	1.850795007	1.654011658	1.317270425	1.815363018	1.237678152	1.57985168	1.149327067	0.882961516	0.165898618	0.935453352	0.062135685	0.004425184	0.825189978	0.075899533
"gene4"	0.717490158	0.513412885	0.758140812	0.243079928	0.280831324	0.739982299	0.994567705	0.787408063	0.881160924	0.256813257	0.437940611	0.633777886	0.337900937	0.322763756
"gene5"	0.659871212	0.522965178	0.562120426	0.304849391	0.759117405	0.059480575	0.537522507	-3.359904782	-3.441328166	-3.09765923	-2.287789544	-4.157475509	-3.975737785	-2.49632252
"gene6"	0.7366863	0.92486343	0.18488113	0.774498733	0.866847743	0.595538194	0.124149297	0.698263497	0.083559679	0.342692343	0.606707968	0.330729087	0.190191351	0.278389843
"gene7"	0.230292673	0.576128422	0.880733665	0.600238044	0.062715537	0.749290445	0.156651509	0.966582232	0.641315958	0.201574755	0.573442793	0.381206702	0.443220313	0.535172582
"gene8"	-2.723776971	-2.369518113	-2.482833338	-2.435926389	-2.862971892	-1.726401563	-3.192236091	0.657002472	0.083559679	0.618152409	0.241065706	0.184026612	0.944822535	0.318765831
"gene9"	0.452253792	0.113193152	0.963408307	0.362559893	0.469618824	0.273293252	0.87203589	0.393688772	0.333597827	0.123477889	0.051545763	0.494644002	0.62163152	0.957457198
"gene10"	0.043458357	0.274056215	0.309030427	0.945402387	0.548356578	0.495834223	0.006866665	0.045503098	0.817224647	0.530411695	0.733268227	0.315469832	0.841578417	0.409588916
"gene11"	0.873744926	0.65581225	0.248542741	0.766136662	0.487563707	0.515945921	0.307412946	0.439252907	0.616107669	0.594653157	0.953581347	0.027619251	0.749107334	0.065797906
"gene12"	0.236396374	0.170598468	0.105624561	0.360484634	0.09726249	0.83947264	0.885708182	0.03747673	0.883846553	0.419476913	0.14865566	0.772576067	0.506851405	0.864436781
"gene13"	4.475203711	3.998229926	5.645924253	4.704489273	3.068239387	5.225074007	4.91012299	0.188879055	0.450117496	0.576281014	0.360271004	0.344676046	0.411206397	0.565874203
"gene14"	0.298501541	0.232734153	0.367076632	0.652607807	0.731864376	0.182164983	0.780083621	0.600451674	0.415723136	0.284676656	0.80138554	0.177007355	0.883816034	0.92977691
"gene15"	0.790276803	0.220892972	0.370677816	0.662343211	0.866542558	0.609759819	0.032990509	0.143711661	0.152073733	0.15970336	0.375988037	0.497451704	0.858790857	0.987884152
"gene16"	0.291055025	0.82125309	0.877651296	0.368785669	0.611194189	0.145970031	0.026642659	0.616565447	0.590014344	0.623340556	0.612964263	0.023255104	0.211004975	0.223242897
"gene17"	0.465498825	0.385631886	0.733085116	0.722281564	0.095034639	0.150456252	0.378612629	0.264229255	0.136936552	0.710867641	0.570482498	0.274391919	0.733848079	0.883785516
"gene18"	0.624011963	0.008484146	0.013550218	0.100497452	0.300302133	0.517654958	0.319345683	0.341563158	0.127201147	0.310556352	0.348185675	0.346598712	0.894070254	0.494369335
"gene19"	0.853572192	0.131138035	0.226508377	0.674977874	0.068727683	0.34131901	0.647694327	0.398785363	0.507522813	0.477553636	0.031891842	0.416394543	0.29749443	0.51863155
"gene20"	0.857234413	0.549882504	0.703421125	0.977599414	0.16318247	0.444898831	0.995757927	0.92034669	0.619647816	0.988830226	0.321543016	0.978606525	0.613361003	0.675984985
"gene21"	0.733329264	0.887874996	0.758507035	0.701712088	0.032380139	0.58250679	0.736930448	-3.065828425	-2.583056124	-2.37836848	-1.874996185	-2.467390973	-2.753563036	-1.274666585
"gene22"	0.362987152	0.271462142	0.140385144	0.906308176	0.523361919	0.329783013	0.231940672	0.177678762	0.03378399	0.935819575	0.667928098	0.109683523	0.512009033	0.695913572
"gene23"	0.750694296	0.930509354	0.367809076	0.597918638	0.364848781	0.941831721	0.329142125	0.058168279	0.961241493	0.192083499	0.54811243	0.228125858	0.761558885	0.487197485
"gene24"	0.693502609	0.342326121	0.840235603	0.770561846	0.935636464	0.388256478	0.239112522	0.403393658	0.230201117	0.880031739	0.771843623	0.376934111	0.807367168	0.016632588
"gene25"	0.673879208	0.987212745	0.271614734	0.00634785	0.75450911	0.004119999	0.219855342	0.838343455	0.206915494	0.86608478	0.782921842	0.282692953	0.733085116	0.930814539
