id.nr	type	H.kcal	eiwit	kool.tot	kool.suiker	kool.anders	vet.tot	vet.vz	vet.ov	vezels	Na 
2	chocolade	442	5.00	67.40	64.60	2.80	15.50	9.00	6.50	6.60	0.100
3	chocolade	433	4.90	67.90	64.90	3.00	15.50	8.90	6.60	6.80	0.180
4	jam	126	0.50	30.00	30.00	0.00	0.20	0.00	0.20	0.70	0.100
5	jam	260	0.00	64.00	62.00	2.00	0.00	0.00	0.00	0.80	0.010
6	jam	244	0.60	61.00	61.00	0.00	0.10	0.10	0.00	3.10	0.010
11	brood	430	12.00	76.00	4.50	71.50	7.50	3.50	4.00	3.00	0.360
14	koekjes	490	7.20	62.50	23.70	38.80	21.60	9.80	11.70	5.00	0.050
19	chocolade	543	6.70	49.00	45.40	3.60	34.00	21.00	13.00	7.30	0.010
22	taart	395	6.50	52.80	28.40	24.40	16.70	8.90	7.80	3.60	0.230
30	rijst	350	7.50	78.00	0.50	77.50	0.50	0.10	0.40	1.30	0.030
31	rijst	355	8.00	77.00	0.00	77.00	1.50	0.50	1.00	1.00	0.000
33	pasta	355	12.00	72.00	2.00	70.00	1.50	0.10	1.40	2.50	0.010
37	drinken	19	0.00	4.70	4.70	0.00	0.00	0.00	0.00	0.00	0.010
39	melk	101	2.70	16.00	12.20	3.80	2.80	2.00	0.80	0.20	0.050
40	pasta	355	12.50	73.00	2.40	70.60	1.40	0.30	1.10	2.60	0.000
41	drinken	33	0.10	8.10	8.10	0.00	0.10	0.10	0.00	0.10	0.030
42	chocolade	520	6.50	48.00	45.00	3.00	34.00	21.00	13.00	6.50	0.000
43	chocolade	561	6.50	51.50	50.30	1.20	36.40	23.00	13.40	2.10	0.070
44	koekjes	456	6.20	71.70	38.40	33.30	16.40	9.00	7.40	2.30	0.310
46	pasta	355	10.70	75.00	4.70	70.30	1.50	0.50	1.00	1.80	0.050
47	jam	245	0.40	60.00	60.00	0.00	0.20	0.20	0.00	0.90	0.000
48	chips	550	6.50	54.00	0.30	53.70	34.00	3.50	30.50	4.00	0.500
49	chips	505	7.50	61.00	2.50	58.50	25.00	4.00	21.00	1.30	0.800
51	melk	60	3.50	4.00	3.50	0.50	3.00	2.00	1.00	0.00	0.050
52	drinken	26	0.20	5.70	4.80	0.90	0.10	0.00	0.10	0.20	0.002
53	drinken	42	0.00	10.30	10.30	0.00	0.00	0.00	0.00	0.00	0.010
54	drinken	46	0.10	10.90	10.90	0.00	0.02	0.01	0.01	0.03	0.020
56	drinken	16	0.00	3.70	3.70	0.00	0.00	0.00	0.00	0.00	0.100
63	pizza	247	9.90	26.80	2.10	24.70	11.10	3.00	8.10	1.90	0.523
64	pizza	262	10.50	24.30	2.00	22.30	13.60	4.70	8.90	1.70	0.480
65	pizza	273	10.40	26.30	2.20	24.10	14.00	4.80	9.20	1.90	0.620
66	pizza	262	9.40	23.70	2.10	21.60	14.40	3.50	10.90	1.80	0.520
67	pizza	223	9.10	22.40	2.00	20.40	10.70	3.20	7.50	1.90	0.500
68	pizza	213	8.70	23.70	2.30	21.40	9.20	3.10	6.10	1.80	0.460
69	pizza	198	6.70	22.20	2.70	19.50	9.10	3.20	5.90	2.00	0.470
70	pizza	215	8.60	25.70	4.70	21.00	8.60	2.70	5.90	1.70	0.490
71	pizza	219	8.90	28.30	4.10	24.20	7.80	2.70	5.10	1.80	0.513
72	pizza	266	9.90	29.20	2.20	27.00	12.20	3.70	8.50	2.00	0.616
73	pizza	299	8.80	30.10	3.80	26.30	9.00	3.30	5.70	1.30	0.600
74	pizza	221	8.70	29.20	2.80	26.40	7.40	3.50	3.90	1.20	0.400
75	pizza	247	10.60	29.60	3.00	26.60	9.30	4.40	4.90	1.10	0.600
76	pizza	205	7.70	29.10	4.70	24.40	6.40	3.90	2.50	2.00	0.610
77	pizza	227	9.20	28.40	2.20	26.20	8.40	4.40	4.00	2.10	0.750
78	pizza	185	9.00	25.80	2.50	23.30	5.00	2.90	2.10	2.00	0.590
79	pizza	206	7.90	28.10	2.50	25.60	6.80	3.40	3.40	2.10	0.580
80	pizza	199	9.50	22.70	1.20	21.50	7.90	3.70	4.20	2.00	0.580
81	pizza	177	8.40	23.40	4.10	19.30	4.60	2.60	2.00	1.90	0.590
82	pizza	214	9.70	24.60	1.30	23.30	8.50	3.70	4.80	2.10	0.740
83	pizza	181	8.80	23.10	2.30	20.80	5.80	2.50	3.30	2.70	0.520
87	melk	48	3.50	5.00	5.00	0.00	1.50	1.00	0.50	0.00	0.050
89	chocolade	549	6.90	55.00	53.00	2.00	33.00	20.00	13.00	2.40	0.080
90	aardappel	85	19.00	19.00	1.00	18.00	0.00	0.00	0.00	3.00	0.000
93	koekjes	315	3.50	73.00	42.00	31.00	0.70	0.10	0.60	2.50	0.220
94	pasta	350	11.00	74.00	2.50	71.50	1.00	0.00	1.00	2.50	0.000
95	rijst	350	7.50	78.00	0.50	77.50	0.50	0.00	0.50	0.50	0.050
96	rijst	350	7.50	78.00	0.50	77.50	0.50	0.10	0.40	1.30	0.030
97	chocolade	545	6.90	54.00	53.00	1.00	33.00	20.00	13.00	2.30	0.080
98	chocolade	575	8.90	43.00	41.00	2.00	40.00	16.00	24.00	3.90	0.100
99	chocolade	530	6.80	58.00	56.00	2.00	30.00	15.50	14.50	2.80	0.080
100	chocolade	575	8.90	43.00	41.00	2.00	40.00	16.00	24.00	3.90	0.060
101	chocolade	550	5.40	57.50	56.50	1.00	33.50	15.50	18.00	1.50	0.110
102	chocolade	545	6.90	54.00	53.00	1.00	33.00	20.00	13.00	2.30	0.100
103	brood	256	8.40	46.30	3.50	42.80	4.10	1.50	2.60	4.10	0.710
104	kaas	380	25.00	2.00	0.00	2.00	31.00	20.00	11.00	0.00	0.820
105	vlees	255	19.00	0.80	0.00	0.80	20.00	9.00	11.00	0.00	0.090
108	drinken	4	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.006
109	koekjes	445	3.00	62.00	33.00	29.00	21.00	13.00	8.00	1.00	0.200
110	koekjes	460	6.00	71.00	39.00	32.00	17.00	8.50	8.50	2.00	0.270
111	koekjes	460	6.60	72.50	39.40	33.10	16.00	8.90	7.10	1.50	0.310
113	kaas	375	23.00	0.00	0.00	0.00	31.00	21.00	10.00	0.00	0.800
114	chocolade	550	6.50	53.00	52.00	1.00	34.00	22.00	12.00	2.00	0.100
115	chocolade	570	4.80	46.00	44.00	2.00	40.50	23.00	17.50	6.00	0.020
116	koekjes	500	7.50	61.00	38.00	23.00	25.00	13.00	12.00	4.00	0.160
117	koekjes	460	3.50	70.00	37.00	33.00	19.00	9.50	9.50	0.70	0.170
118	noten	599	17.50	29.00	5.70	23.30	45.20	8.10	37.10	3.20	0.330
119	noten	610	18.00	25.00	8.50	16.50	49.00	10.00	39.00	3.00	0.300
120	koekjes	495	5.50	70.00	36.00	34.00	21.00	10.00	11.00	0.90	0.240
121	brood	415	7.50	46.00	5.50	40.50	22.00	15.00	7.00	2.00	0.410
122	brood	350	13.00	64.00	3.50	60.50	4.00	1.00	3.00	14.00	0.410
124	brood	225	8.50	43.00	1.50	41.50	1.50	0.40	1.10	4.50	0.440
125	brood	220	9.00	39.00	1.50	37.50	1.50	0.40	1.10	7.50	0.440
126	vlees	330	13.00	2.00	1.00	1.00	31.00	11.00	20.00	1.00	0.800
127	vlees	435	18.00	0.50	0.50	0.00	40.00	15.00	25.00	0.00	1.400
128	vlees	350	14.00	4.00	1.00	3.00	31.00	12.00	19.00	0.00	0.790
129	koekjes	385	8.50	81.00	4.50	76.50	2.50	1.00	1.50	3.00	0.600
131	vlees	242	14.00	1.50	0.50	1.00	20.00	7.80	12.20	0.20	0.900
132	jam	239	0.60	61.00	61.00	0.00	0.10	0.10	0.00	3.50	0.000
137	kaas	244	15.00	3.50	0.70	2.80	16.00	9.00	7.00	0.00	0.520
138	brood	227	7.50	47.30	0.90	46.40	0.80	0.20	0.60	1.80	0.440
139	drinken	15	0.00	3.50	3.50	0.00	0.00	0.00	0.00	0.00	0.020
140	vlees	280	15.00	0.50	0.50	0.00	24.00	10.00	14.00	0.00	1.100
141	groente	10	1.00	0.30	0.00	0.30	0.00	0.00	0.00	2.00	0.030
142	vlees	150	19.00	3.00	0.30	2.70	7.00	2.50	4.50	0.00	0.720
143	drinken	38	0.10	9.00	7.50	1.50	0.00	0.00	0.00	0.00	0.000
144	drinken	42	0.00	10.00	10.00	0.00	0.00	0.00	0.00	0.00	0.000
145	drinken	19	0.00	4.50	4.50	0.00	0.00	0.00	0.00	0.00	0.000
146	drinken	12	0.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.000
148	drinken	14	0.30	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.000
150	jam	246	0.60	60.00	55.20	4.80	0.00	0.00	0.00	1.20	0.010
151	chocolade	580	1.50	58.00	57.00	1.00	38.00	8.50	29.50	2.00	0.010
153	aardappel	260	4.00	34.00	0.20	33.80	11.00	3.00	8.00	4.00	0.030
154	vlees	218	10.50	3.50	0.30	3.20	18.00	6.80	11.20	0.10	0.900
155	vlees	186	11.50	4.50	0.50	4.00	13.50	4.60	8.90	0.00	1.060
156	brood	250	8.50	52.00	1.50	50.50	0.90	0.30	0.60	2.50	0.520
157	chips	480	3.20	61.80	2.70	59.10	24.40	11.60	12.80	3.00	1.200
158	taart	268	3.20	40.20	26.50	13.70	10.50	6.90	3.60	1.30	0.110
159	brood	355	7.00	42.90	4.90	38.00	17.60	12.00	5.60	1.10	0.440
160	koekjes	433	6.30	76.90	71.00	5.90	10.40	0.70	9.70	3.10	0.059
161	kaas	392	33.00	0.00	0.00	0.00	28.40	18.70	9.70	0.00	0.650
167	vlees	242	14.00	1.50	0.50	1.00	20.00	7.80	12.20	0.20	0.900
168	groente	120	3.10	21.80	3.3	18.50	1.60	0.30	1.30	2.80	0.180
171	chocolade	549	6.90	55.00	53.00	2.00	33.00	20.00	13.00	2.40	0.080
172	chocolade	538	5.80	58.00	57.00	1.00	31.00	19.00	12.00	2.10	0.070
173	groente	18	1.00	1.00	0.00	1.00	0.00	0.00	0.00	2.50	0.600
174	aardappel	76	2.30	16.80	1.10	15.70	0.00	0.00	0.00	3.10	0.000
176	kaas	265	19.00	0.00	0.00	0.00	21.00	15.00	6.00	0.00	0.500
178	brood	170	11.00	12.00	2.00	10.00	8.40	3.70	4.70	1.30	0.360
184	koekjes	375	6.40	78.00	20.70	57.30	4.20	1.90	2.30	2.60	0.290
186	chocolade	447	5.00	66.60	63.30	3.30	16.10	9.60	6.50	7.60	0.100
189	koekjes	354	4.00	69.00	32.00	37.00	8.40	2.30	6.10	5.60	0.200
198	koekjes	400	3.80	65.40	38.20	27.20	13.40	4.30	9.10	1.60	0.160
199	kaas	377	26.00	0.00	0.00	0.00	30.00	21.00	9.00	0.00	0.900
200	chocolade	432	4.80	67.40	64.60	2.80	15.70	9.00	6.70	6.60	0.130
202	taart	434	5.30	59.80	34.40	25.40	19.00	11.70	7.30	1.50	0.160
203	aardappel	83	2.30	16.80	1.10	15.70	0.00	0.00	0.00	3.10	0.120
204	drinken	4	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.000
205	vlees	538	23.00	1.00	1.00	0.00	48.00	18.20	29.80	0.00	1.680
207	taart	400	6.80	49.00	25.00	24.00	20.00	8.40	11.60	0.70	0.510
208	groente	72	2.90	10.80	5.20	5.60	1.90	0.50	1.40	3.80	0.230
209	rijst	350	7.50	78.00	0.50	77.50	0.50	0.10	0.40	1.30	0.010
210	rijst	360	8.00	75.00	0.20	74.80	1.00	0.30	0.70	2.50	0.000
211	groente	12	2.00	1.00	0.00	1.00	0.00	0.00	0.00	2.00	0.030
214	kaas	385	26.90	0.00	0.00	0.00	32.30	19.70	12.60	0.00	0.900
216	kaas	420	26.00	2.00	0.00	2.00	34.00	23.00	11.00	0.00	1.000
218	groente	34	2.60	3.10	2.10	1.00	0.50	0.10	0.40	3.10	0.030
220	koekjes	451	5.20	71.60	38.20	33.40	15.90	8.90	7.00	2.20	0.300
225	noten	629	19.00	22.00	9.00	13.00	51.00	10.00	41.00	3.00	0.310
226	chocolade	553	7.70	52.10	51.20	0.90	34.90	21.40	13.50	1.90	0.090
227	chocolade	562	7.80	27.10	22.30	4.80	46.70	29.40	17.30	11.10	0.010
228	chocolade	540	4.80	46.70	43.60	3.10	36.90	23.20	13.70	7.00	0.010
229	rijst	356	8.00	79.00	0.10	78.90	0.50	0.20	0.30	1.00	0.010
